question,benchmark_answer,user_answer,human_score
How would you design a URL shortening service like bit.ly?,"I would design a URL shortening service with the following components: (1) A hash function or base62 encoding to convert long URLs into short 6-7 character codes, (2) A database (like Cassandra or DynamoDB) to store mappings between short codes and original URLs with high availability, (3) A caching layer (Redis) for frequently accessed URLs to reduce database load, (4) Load balancers to distribute traffic across multiple application servers, (5) A counter service to generate unique IDs for each URL, and (6) Analytics service to track click metrics. For scalability, I'd use horizontal partitioning and CDN for global distribution.",I'd create a system that generates short unique codes for long URLs using base62 encoding. Store the mappings in a distributed database like Cassandra for high availability. Use Redis cache for popular URLs. Implement load balancing and CDN for performance. Track analytics for clicks.,8.0
How would you design a URL shortening service like bit.ly?,"I would design a URL shortening service with the following components: (1) A hash function or base62 encoding to convert long URLs into short 6-7 character codes, (2) A database (like Cassandra or DynamoDB) to store mappings between short codes and original URLs with high availability, (3) A caching layer (Redis) for frequently accessed URLs to reduce database load, (4) Load balancers to distribute traffic across multiple application servers, (5) A counter service to generate unique IDs for each URL, and (6) Analytics service to track click metrics. For scalability, I'd use horizontal partitioning and CDN for global distribution.",Store URLs in a database with short codes.,2.0
Explain database normalization and why it's important.,"Database normalization is the process of organizing database tables to minimize redundancy and dependency by dividing large tables into smaller ones and defining relationships between them. The main normal forms are: 1NF (eliminate repeating groups), 2NF (remove partial dependencies), 3NF (remove transitive dependencies), and BCNF. Normalization is important because it reduces data redundancy, prevents update anomalies, ensures data integrity, saves storage space, and makes the database easier to maintain. However, over-normalization can lead to complex queries requiring many joins, so sometimes controlled denormalization is used for performance.","Normalization organizes data to reduce redundancy by splitting tables and creating relationships. It goes through normal forms like 1NF, 2NF, 3NF. This prevents data anomalies, saves space, and maintains integrity. But too much normalization can slow queries due to joins.",8.5
What is the difference between SQL and NoSQL databases?,"SQL databases are relational, use structured schemas with tables, rows and columns, support ACID transactions, and use SQL for queries. Examples include MySQL, PostgreSQL, Oracle. They're ideal for complex queries, transactions, and data integrity. NoSQL databases are non-relational, have flexible schemas, and come in types like document (MongoDB), key-value (Redis), column-family (Cassandra), and graph (Neo4j). They scale horizontally, handle unstructured data well, and prioritize availability and partition tolerance (BASE). NoSQL is better for big data, real-time applications, and when schema flexibility is needed. The choice depends on consistency requirements, scalability needs, and data structure.","SQL databases are relational with fixed schemas, use tables, and support ACID properties. NoSQL databases are non-relational, schema-flexible, and scale horizontally. SQL is good for structured data and complex queries. NoSQL is better for large-scale, unstructured data and high availability.",8.0
Tell me about a time when you had to debug a complex production issue.,"In my previous role as a software engineer, our e-commerce platform experienced intermittent 500 errors affecting 15% of checkout transactions during peak hours. My task was to identify and resolve the issue quickly to prevent revenue loss. I systematically analyzed application logs, database query performance, and server metrics. I discovered that a database connection pool was exhausting under high load due to a missing index on a frequently queried table. I implemented an immediate fix by increasing the pool size temporarily, then added the proper index and optimized the query. As a result, we eliminated the errors, reduced average query time by 60%, and prevented an estimated $50,000 in lost daily revenue. I also implemented better monitoring alerts to catch similar issues proactively.",We had 500 errors on our checkout page affecting customers. I checked the logs and found slow database queries were timing out. I added an index to the slow table and increased connection pool size. This fixed the errors and made queries 60% faster. I also set up monitoring to catch these issues earlier in the future.,7.5
Tell me about a time when you had to debug a complex production issue.,"In my previous role as a software engineer, our e-commerce platform experienced intermittent 500 errors affecting 15% of checkout transactions during peak hours. My task was to identify and resolve the issue quickly to prevent revenue loss. I systematically analyzed application logs, database query performance, and server metrics. I discovered that a database connection pool was exhausting under high load due to a missing index on a frequently queried table. I implemented an immediate fix by increasing the pool size temporarily, then added the proper index and optimized the query. As a result, we eliminated the errors, reduced average query time by 60%, and prevented an estimated $50,000 in lost daily revenue. I also implemented better monitoring alerts to catch similar issues proactively.",I once had a bug in production. I looked at the code and fixed it.,2.0
Describe a situation where you had to work with a difficult team member.,"During a critical project migration, I worked with a senior developer who was resistant to adopting our team's new code review standards and frequently dismissed feedback. My task was to maintain team cohesion and ensure code quality standards were met. I scheduled a one-on-one coffee chat to understand their perspective and discovered they felt the new process was slowing down delivery. I acknowledged their concerns and proposed a compromise: streamlining the review checklist to focus on critical items while maintaining quality. I also highlighted how their expertise could improve our standards. As a result, they became more engaged in the review process, team conflict decreased, and we successfully completed the migration on time with 40% fewer post-deployment bugs than previous projects.",I worked with someone who didn't like code reviews. I talked to them privately to understand why - they thought it slowed things down. We simplified the review process to focus on important issues. They became more cooperative and our code quality improved with fewer bugs after deployment.,7.5
Give me an example of when you had to learn a new technology quickly.,"When our team decided to migrate our monolithic application to microservices using Kubernetes, I had only basic Docker knowledge and no Kubernetes experience. My task was to become proficient enough to lead the containerization of our payment service within 3 weeks. I created a structured learning plan: completed official Kubernetes documentation and tutorials in week 1, built practice projects in week 2, and applied knowledge to our payment service in week 3. I also joined the CNCF Slack community for quick problem-solving. As a result, I successfully containerized and deployed the payment service to our Kubernetes cluster, reduced deployment time from 2 hours to 15 minutes, and became the go-to resource for the team, training 5 other engineers on Kubernetes.","When we moved to Kubernetes, I had to learn it fast. I studied documentation, did tutorials, and built test projects. Within 3 weeks, I deployed our payment service to Kubernetes, cutting deployment time from 2 hours to 15 minutes. I then trained other team members.",8.0
Tell me about a time when you failed and what you learned from it.,"In my second year as a developer, I pushed a database migration to production without adequate testing that caused a 2-hour outage affecting all users. My task was to quickly roll back the change and understand what went wrong. I immediately initiated the rollback procedure, restored service, and conducted a thorough post-mortem. I learned that I had skipped testing the migration on production-scale data and hadn't followed the proper deployment checklist. As a result, I implemented several improvements: created a mandatory pre-deployment checklist, established a staging environment that mirrors production data volumes, and introduced canary deployments for risky changes. This incident made me a much more thorough engineer, and we haven't had a similar outage in 2 years since implementing these safeguards.",I once caused an outage by not testing a database migration properly. I rolled it back quickly and learned to always test on production-like data. I created checklists and better staging environments to prevent this.,7.0
Describe a time when you improved the performance of an application.,"Our customer dashboard was loading very slowly, taking 8-12 seconds, and users were complaining. My task was to reduce load time to under 2 seconds. I first profiled the application using Chrome DevTools and identified that the backend API was making 47 separate database queries per page load, causing N+1 query problems. I refactored the code to use eager loading and joined queries, reducing database calls from 47 to 3. I also implemented Redis caching for static reference data and optimized the frontend by code-splitting large JavaScript bundles. As a result, page load time decreased from 10 seconds to 1.2 seconds (88% improvement), user satisfaction scores increased by 35%, and database CPU usage dropped by 60%, allowing us to delay a costly infrastructure upgrade.","Our dashboard was slow at 10+ seconds. I found we had N+1 query problems with 47 database calls per page. I optimized queries, added caching, and code-split the frontend. Load time dropped to 1.2 seconds, users were happier, and we saved on infrastructure costs.",9.0
Explain the difference between object-oriented programming and functional programming.,"Object-Oriented Programming (OOP) organizes code around objects that encapsulate data and behavior, using principles like encapsulation, inheritance, polymorphism, and abstraction. Languages like Java, C++, and Python support OOP. It models real-world entities and promotes code reuse through inheritance. Functional Programming (FP) treats computation as evaluation of mathematical functions, avoiding state changes and mutable data. It emphasizes pure functions, immutability, first-class functions, and higher-order functions. Languages like Haskell, Lisp, and features in JavaScript and Python support FP. FP is better for parallel processing and reasoning about code, while OOP is intuitive for modeling complex systems. Modern development often combines both paradigms.","OOP uses objects with data and methods, focusing on inheritance and encapsulation. FP uses pure functions without side effects and emphasizes immutability. OOP is good for modeling real-world entities. FP is better for parallel processing. Most modern languages support both.",8.5
What is the difference between == and === in JavaScript?,"In JavaScript, == is the loose equality operator that performs type coercion before comparison, while === is the strict equality operator that checks both value and type without coercion. For example, 5 == '5' returns true because JavaScript converts the string to a number, but 5 === '5' returns false because they are different types (number vs string). Similarly, null == undefined is true, but null === undefined is false. Best practice is to use === to avoid unexpected type coercion bugs and make code more predictable. The loose equality operator can lead to subtle bugs due to JavaScript's complex coercion rules.","== does type coercion before comparing, so 5 == '5' is true. === checks both value and type without coercion, so 5 === '5' is false. Always use === to avoid bugs from unexpected type conversion.",9.0
Explain what RESTful API is and its key principles.,"REST (Representational State Transfer) is an architectural style for designing networked applications. Key principles include: (1) Statelessness - each request contains all information needed, no session state on server, (2) Client-Server separation - frontend and backend are independent, (3) Uniform Interface - consistent resource identification using URIs, (4) Resource-based - everything is a resource (users, products) accessed via endpoints, (5) HTTP methods - GET (read), POST (create), PUT/PATCH (update), DELETE (remove), (6) Cacheable - responses can be cached for performance, and (7) Layered system - client doesn't know if connected directly to server or intermediary. RESTful APIs typically return JSON or XML and use proper HTTP status codes (200, 404, 500).","REST is an architecture for web APIs using HTTP methods: GET for reading, POST for creating, PUT for updating, DELETE for removing. It's stateless, uses URIs to identify resources, returns JSON typically, and separates client and server. Responses can be cached for performance.",8.0
What is Git and why is version control important?,"Git is a distributed version control system that tracks changes to code over time, allowing multiple developers to collaborate efficiently. Version control is important because it: (1) Maintains complete history of all changes with who made them and when, (2) Enables collaboration by allowing multiple developers to work on different features simultaneously, (3) Provides branching for isolated feature development and experimentation, (4) Allows reverting to previous versions if bugs are introduced, (5) Facilitates code review through pull requests, (6) Enables backup and recovery of code, and (7) Supports continuous integration/deployment workflows. Git's distributed nature means every developer has a full copy of the repository, making it resilient and enabling offline work.","Git tracks code changes over time. Version control is important for collaboration, maintaining history, creating branches for features, reverting mistakes, code reviews, and enabling CI/CD. It lets teams work together without conflicts.",7.5
Explain the SOLID principles in software design.,"SOLID is an acronym for five object-oriented design principles: (S) Single Responsibility Principle - a class should have only one reason to change, one responsibility; (O) Open/Closed Principle - software entities should be open for extension but closed for modification; (L) Liskov Substitution Principle - derived classes must be substitutable for their base classes; (I) Interface Segregation Principle - clients shouldn't be forced to depend on interfaces they don't use; (D) Dependency Inversion Principle - depend on abstractions, not concretions. These principles promote maintainable, flexible, and scalable code by reducing coupling, improving testability, and making systems easier to understand and modify.","SOLID stands for: Single Responsibility (one class, one purpose), Open/Closed (open for extension, closed for modification), Liskov Substitution (subclasses should work where parent class works), Interface Segregation (don't force unused methods), Dependency Inversion (depend on abstractions). These make code maintainable and flexible.",9.0
Tell me about a time you had to meet a tight deadline.,"Our client needed a critical payment integration feature delivered in 2 weeks instead of the planned 4 weeks due to their regulatory deadline. My task was to deliver a working, tested solution without compromising quality. I immediately broke down the work into must-have and nice-to-have features, prioritizing the core payment flow. I negotiated with the team to defer non-critical features to a later release. I also set up daily standups to quickly identify blockers and coordinated closely with the QA team for parallel testing. I worked focused hours and minimized context switching. As a result, we delivered the core payment feature on time with 95% test coverage, the client met their regulatory deadline, and we added the remaining features in the following sprint. This taught me the importance of ruthless prioritization under pressure.","A client needed a payment feature in 2 weeks instead of 4. I prioritized core functionality, cut non-essential features, had daily standups, and worked with QA for parallel testing. We delivered on time with good test coverage, and the client met their deadline.",8.0
Describe a time when you had to make a technical decision without complete information.,"When choosing between MongoDB and PostgreSQL for a new analytics feature, we had limited time to decide and incomplete performance benchmarks for our specific use case. My task was to make a justified database choice within 3 days. I created a decision matrix evaluating both options on key criteria: query complexity, scalability needs, team expertise, and ecosystem maturity. I built small prototypes with representative data volumes for both databases, ran basic performance tests, consulted with the DevOps team about operational overhead, and documented trade-offs clearly. I chose PostgreSQL because our queries required complex joins and ACID guarantees, despite MongoDB's flexibility. As a result, the analytics feature scaled to 10M+ records with sub-second query times, and the team's existing SQL knowledge reduced the learning curve. The structured decision process helped the team trust the choice.","Choosing between MongoDB and PostgreSQL with limited data, I created a decision matrix, built prototypes, ran basic tests, and consulted DevOps. I picked PostgreSQL for complex joins and ACID properties. The feature scaled well and leveraged team's SQL knowledge.",8.5
Tell me about a time you received critical feedback. How did you respond?,"During a code review, my tech lead pointed out that my code was difficult to understand due to poor naming conventions and lack of comments, calling it 'clever but unreadable.' My task was to improve my coding practices to write maintainable code. Initially, I felt defensive, but I took time to reflect and realized they were right. I asked for specific examples and requested they review my next few pull requests more closely to help me improve. I studied clean code principles, adopted the team's style guide religiously, started writing self-documenting code with clear variable names, and added comments only where necessary to explain 'why' not 'what.' As a result, my code review approval time decreased from 3 days to 1 day, I received positive feedback on code readability, and I became more empathetic when reviewing others' code. This feedback significantly improved my development skills.","My tech lead said my code was hard to read. After reflecting, I asked for examples, studied clean code principles, improved naming and comments. My code reviews got faster and I received positive feedback on readability. It made me a better developer.",7.5
Describe a time when you had to persuade others to adopt your technical approach.,"Our team was building a new feature using synchronous API calls, but I believed an event-driven architecture using message queues would be more scalable and resilient. My task was to convince the team to change approaches mid-sprint. I prepared a technical presentation showing how message queues (RabbitMQ) would handle traffic spikes better, prevent cascading failures, and enable async processing. I built a small proof-of-concept demonstrating 3x better throughput under load, addressed concerns about operational complexity by showing managed services (AWS SQS) required minimal overhead, and proposed a gradual migration path. As a result, the team agreed to adopt the event-driven approach, we successfully handled a 10x traffic increase during a product launch without downtime, and the pattern was adopted for three other services. I learned that data and working prototypes are more persuasive than arguments.","I proposed using message queues instead of synchronous calls for better scalability. I built a proof-of-concept showing 3x better performance, addressed operational concerns with managed services, and showed a migration path. The team adopted it and we handled 10x traffic without issues.",9.0
Tell me about a time you had to balance technical debt with new feature development.,"Our legacy authentication system was causing intermittent bugs and slowing down new feature development, but the product team was pushing for a new user dashboard. My task was to advocate for addressing technical debt while meeting business needs. I quantified the impact of the technical debt: 30% of our bug backlog was auth-related, and new features touching authentication took 50% longer to develop. I proposed a hybrid approach: allocate 60% sprint capacity to the new dashboard and 40% to refactoring authentication incrementally. I created a 3-sprint roadmap showing how refactoring would accelerate future development. As a result, management approved the approach, we eliminated 80% of auth-related bugs over 3 sprints, reduced development time for auth-related features by 40%, and successfully delivered the dashboard with only a 2-week delay. This demonstrated the business value of managing technical debt.","Our legacy auth system was causing bugs and slowing development, but product wanted new features. I quantified the impact with data, proposed splitting sprint capacity 60/40 between new features and refactoring. We eliminated most bugs and sped up future development.",8.5
What is the Software Development Life Cycle (SDLC)?,"The Software Development Life Cycle (SDLC) is a structured process for planning, creating, testing, and deploying software. The key phases are: (1) Requirements Gathering - understanding user needs and documenting functional and non-functional requirements, (2) Design - creating system architecture, database schemas, and UI/UX designs, (3) Implementation/Development - actual coding of the software, (4) Testing - verifying functionality through unit, integration, and system testing, (5) Deployment - releasing the software to production environment, and (6) Maintenance - ongoing bug fixes, updates, and enhancements. Common SDLC models include Waterfall (sequential), Agile (iterative), Scrum (sprint-based), and DevOps (continuous delivery). The choice depends on project requirements, team size, and flexibility needs.","SDLC is the process of building software with phases: requirements, design, development, testing, deployment, and maintenance. Common models are Waterfall, Agile, and Scrum. It ensures structured development and quality.",8.0
Explain the difference between unit testing and integration testing.,"Unit testing tests individual components or functions in isolation, typically written by developers using frameworks like JUnit, pytest, or Jest. Tests are fast, focused on single functions, use mocks/stubs for dependencies, and verify that each unit works correctly. Integration testing tests how multiple components work together, verifying that modules integrate correctly. It tests database connections, API calls, and component interactions. Integration tests are slower, test real dependencies or test databases, and catch issues at interface boundaries. Both are important: unit tests catch bugs early in individual components (fast feedback), while integration tests ensure components work together correctly (realistic scenarios). A good test strategy includes both levels plus end-to-end tests.","Unit tests check individual functions in isolation with mocked dependencies, fast and focused. Integration tests verify multiple components working together with real dependencies, slower but catch interface issues. Both are needed for comprehensive testing.",9.0
What is continuous integration and continuous deployment (CI/CD)?,"CI/CD is a set of practices that automate software delivery. Continuous Integration (CI) means developers frequently merge code changes to a shared repository (multiple times daily), triggering automated builds and tests to detect integration issues early. Continuous Deployment (CD) automatically deploys code that passes all tests to production without manual intervention. Continuous Delivery (also CD) automates deployment to staging, requiring manual approval for production. Benefits include faster feedback, reduced integration problems, quicker releases, lower deployment risk, and improved code quality. Tools include Jenkins, GitLab CI, GitHub Actions, CircleCI, and Travis CI. CI/CD requires good test coverage, automated testing, infrastructure as code, and monitoring to be effective.","CI/CD automates building, testing, and deploying code. CI merges code frequently with automated tests. CD deploys passing code automatically. Benefits include faster releases, early bug detection, and reduced risk. Tools include Jenkins, GitHub Actions, GitLab CI.",8.5
What is Agile methodology and how does it differ from Waterfall?,"Agile is an iterative software development methodology that delivers working software in short cycles (sprints), typically 1-4 weeks, with continuous feedback and adaptation. Key principles include customer collaboration, responding to change, working software over documentation, and self-organizing teams. Waterfall is a linear sequential model where each phase (requirements, design, implementation, testing, deployment) must complete before the next begins. Key differences: Agile is flexible and adaptive, Waterfall is rigid and plan-driven; Agile delivers incrementally, Waterfall delivers at the end; Agile involves customers throughout, Waterfall involves customers mainly at start and end; Agile handles changing requirements well, Waterfall struggles with changes. Agile suits dynamic projects with evolving requirements, while Waterfall works for well-defined projects with stable requirements.","Agile delivers software in short iterations with continuous feedback and flexibility. Waterfall is linear with sequential phases completed one after another. Agile adapts to change easily, Waterfall is rigid. Agile involves customers throughout, Waterfall mainly at endpoints.",8.0
How do you approach debugging a production issue?,"My systematic debugging approach includes: (1) Assess severity and impact - determine how many users affected and business impact, (2) Gather information - collect error logs, monitoring metrics, user reports, and reproduction steps, (3) Reproduce the issue - try to replicate in staging or local environment, (4) Form hypotheses - based on recent changes, error patterns, and system behavior, (5) Isolate the problem - use binary search, enable detailed logging, check database queries, review recent deployments, (6) Test hypotheses - validate or eliminate potential causes systematically, (7) Implement fix - apply quickest safe fix for production, plan long-term solution, (8) Verify resolution - confirm issue is resolved in production, monitor for recurrence, and (9) Post-mortem - document what happened, why, and how to prevent it. Always communicate with stakeholders throughout the process.","I assess severity, gather logs and metrics, reproduce the issue, form hypotheses about causes, systematically test each hypothesis, implement the fix, verify it works, and document in a post-mortem. Communication with stakeholders is key throughout.",8.5
What is test-driven development (TDD) and what are its benefits?,"Test-Driven Development (TDD) is a software development practice where tests are written before the actual code. The cycle is: (1) Write a failing test for new functionality (Red), (2) Write minimal code to make the test pass (Green), (3) Refactor code while keeping tests passing (Refactor). Benefits include: better code design as writing tests first forces thinking about interfaces and edge cases, higher test coverage since tests are integral not afterthought, fewer bugs caught early, easier refactoring with confidence, living documentation through tests, and faster debugging since tests pinpoint failures. Challenges include initial slower development, learning curve, and requires discipline. TDD works well for complex logic, APIs, and business rules but may be overkill for simple UI code.","TDD means writing tests before code in Red-Green-Refactor cycles. Benefits include better design, high test coverage, fewer bugs, confident refactoring, and tests as documentation. It's great for complex logic and APIs.",8.5
Explain the difference between an array and a linked list.,"Arrays and linked lists are both linear data structures but differ significantly. Arrays store elements in contiguous memory locations with fixed or dynamic size, allowing O(1) random access by index but O(n) insertion/deletion in middle (requires shifting). Linked lists store elements in nodes with pointers to next node, using non-contiguous memory. They allow O(1) insertion/deletion at known positions but O(n) access by index (must traverse). Arrays have better cache locality and memory efficiency for small elements, while linked lists are better for frequent insertions/deletions and when size is unknown. Arrays use less memory per element, while linked lists need extra memory for pointers. Choose arrays for frequent access by index, linked lists for frequent insertions/deletions.","Arrays use contiguous memory with O(1) access by index but O(n) insertion. Linked lists use scattered memory with O(1) insertion/deletion but O(n) access. Arrays are better for random access, linked lists for frequent modifications.",9.0
What is a binary tree and what are its common traversal methods?,"A binary tree is a hierarchical data structure where each node has at most two children: left and right. Common traversal methods are: (1) Inorder (Left-Root-Right) - visits left subtree, then root, then right subtree; produces sorted order for binary search trees, (2) Preorder (Root-Left-Right) - visits root first, then left and right subtrees; used for creating a copy of the tree, (3) Postorder (Left-Right-Root) - visits children before root; used for deleting trees or evaluating expression trees, and (4) Level-order (Breadth-First) - visits nodes level by level using a queue; used for finding shortest path or level-based problems. Each traversal has O(n) time complexity. Choice depends on the problem: inorder for sorted data, level-order for shortest paths.","A binary tree has nodes with max two children. Traversals: Inorder (left-root-right, gives sorted order), Preorder (root-left-right, for copying), Postorder (left-right-root, for deletion), Level-order (breadth-first with queue). All are O(n).",9.0
What is a binary search tree (BST) and what are its properties?,"A Binary Search Tree (BST) is a binary tree with ordering properties: for each node, all values in the left subtree are smaller, and all values in the right subtree are larger. This property enables efficient searching, insertion, and deletion. Operations have O(log n) average time complexity when balanced but O(n) worst case when skewed (like a linked list). BSTs support operations like search, insert, delete, find minimum/maximum, and inorder successor/predecessor. Inorder traversal of BST gives sorted order. BSTs are used in implementing sets, maps, and priority queues. To maintain balance and guarantee O(log n) operations, self-balancing variants like AVL trees and Red-Black trees are used. BSTs are fundamental to many advanced data structures.","BST is a binary tree where left subtree values < node < right subtree values. Operations are O(log n) average, O(n) worst case if unbalanced. Used for searching, sorting, and implementing sets/maps. Self-balancing trees like AVL maintain O(log n).",9.0
What is a graph and what are common ways to represent it?,"A graph is a non-linear data structure consisting of vertices (nodes) and edges (connections). Graphs can be directed (edges have direction) or undirected, and weighted (edges have values) or unweighted. Common representations: (1) Adjacency Matrix - 2D array where matrix[i][j] = 1 if edge exists between vertices i and j; uses O(V²) space, O(1) edge lookup, inefficient for sparse graphs, (2) Adjacency List - array of lists where each vertex has a list of adjacent vertices; uses O(V+E) space, efficient for sparse graphs, O(V) edge lookup, and (3) Edge List - list of all edges; simple but inefficient for most operations. Choice depends on graph density and operations: adjacency matrix for dense graphs and frequent edge queries, adjacency list for sparse graphs and traversals.","Graphs have vertices and edges, can be directed/undirected, weighted/unweighted. Representations: Adjacency matrix (2D array, O(V²) space, O(1) lookup), Adjacency list (lists of neighbors, O(V+E) space, better for sparse graphs), Edge list (list of edges).",8.5
Explain how merge sort works and what is its time complexity.,"Merge sort is a divide-and-conquer sorting algorithm that works by recursively dividing the array into two halves until each subarray has one element, then merging them back in sorted order. The process: (1) Divide - split array into two halves recursively until subarrays have 1 element, (2) Conquer - merge two sorted subarrays by comparing elements and placing them in order. The merge operation takes O(n) time as it compares and combines elements. Time complexity is O(n log n) in all cases (best, average, worst) because: we divide the array log n times (height of recursion tree) and each level does O(n) work for merging. Space complexity is O(n) for auxiliary arrays. Merge sort is stable, predictable, and works well for linked lists and external sorting, but requires extra space.","Merge sort divides array recursively until single elements, then merges them in sorted order. Time complexity is O(n log n) in all cases - log n divisions, O(n) work per level. Space is O(n). It's stable and predictable but needs extra space.",9.0
What is dynamic programming and when would you use it?,"Dynamic programming (DP) is an optimization technique for solving problems by breaking them into overlapping subproblems, solving each subproblem once, and storing results to avoid redundant calculations. It's used when problems have: (1) Optimal substructure - optimal solution can be constructed from optimal solutions of subproblems, and (2) Overlapping subproblems - same subproblems are solved multiple times. Two approaches: Top-down (memoization) uses recursion with caching, bottom-up (tabulation) builds solution iteratively. Classic examples: Fibonacci sequence (avoid exponential recursive calls), longest common subsequence, knapsack problem, shortest path (Floyd-Warshall), and matrix chain multiplication. DP trades space for time, reducing exponential to polynomial complexity. Choose DP when brute force is too slow and subproblems repeat.","Dynamic programming solves problems by breaking into overlapping subproblems and caching results. Used when there's optimal substructure and overlapping subproblems. Methods: memoization (top-down) and tabulation (bottom-up). Examples: Fibonacci, knapsack, LCS. Trades space for time.",9.0
